label,message
0,go jurong point crazi avail bugi n great world la e buffet cine got amor wat
0,ok lar joke wif u oni
1,free entri wkli comp win fa cup final tkt st may text fa receiv entri questionstd txt ratetc appli over
0,u dun say earli hor u c alreadi say
0,nah dont think goe usf live around though
1,freemsg hey darl week word back id like fun still tb ok xxx std chg send rcv
0,even brother like speak treat like aid patent
0,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
1,winner valu network custom select receivea prize reward claim call claim code kl valid hour
1,mobil month u r entitl updat latest colour mobil camera free call mobil updat co free
0,im gon na home soon dont want talk stuff anymor tonight k ive cri enough today
1,six chanc win cash pound txt csh send cost pday day tsandc appli repli hl info
1,urgent week free membership prize jackpot txt word claim tc lccltd pobox ldnwarw
0,ive search right word thank breather promis wont take help grant fulfil promis wonder bless time
0,date sunday
1,xxxmobilemovieclub use credit click wap link next txt messag click xxxmobilemovieclubcomnqjkgighjjgcbl
0,oh kim watch
0,eh u rememb spell name ye v naughti make v wet
0,fine that way u feel that way gota b
1,england v macedonia dont miss goalsteam news txt ur nation team eg england trywal scotland txt poboxoxwwq
0,serious spell name
0,im go tri month ha ha joke
0,pay first lar da stock comin
0,aft finish lunch go str lor ard smth lor u finish ur lunch alreadi
0,ffffffffff alright way meet sooner
0,forc eat slice im realli hungri tho suck mark get worri know im sick turn pizza lol
0,lol alway convinc
0,catch bu fri egg make tea eat mom left dinner feel love
0,im back amp pack car ill let know there room
0,ahhh work vagu rememb feel like lol
0,wait that still clear sure sarcast that x doesnt want live us
0,yeah got v apologet n fallen actin like spoilt child got caught till wont go badli cheer
0,k tell anyth
0,fear faint housework quick cuppa
1,thank subscript rington uk mobil charg month pleas confirm repli ye repli charg
0,yup ok go home look time msg xuhui go learn nd may lesson
0,oop ill let know roommat done
0,see letter b car
0,anyth lor u decid
0,hello how saturday go text see youd decid anyth tomo im tri invit anyth
0,pl go ahead watt want sure great weekend abiola
0,forget tell want need crave love sweet arabian steed mmmmmm yummi
1,rodger burn msg tri call repli sm free nokia mobil free camcord pleas call deliveri tomorrow
0,see
0,great hope like man well endow ltgt inch
0,callsmessagesmiss call
0,didnt get hep b immunis nigeria
0,fair enough anyth go
0,yeah hope tyler cant could mayb ask around bit
